Reduced Cell Formula,Working Ion,nZn_max,nAl_max,nMg_max,nK_max,nLi_max,n_alkaline_earth_metals,n_lanthanoids,n_metalloids,n_post_transition_metals,n_reactive_nonmetals,n_transition_metals,n_alkali_metals,n_actinoids,nBe,nSr,nBa,nCa,nPr,nHo,nCe,nTb,nGd,nLa,nLu,nNd,nSi,nGe,nTe,nSb,nAs,nSn,nBi,nGa,nO,nP,nS,nF,nI,nSe,nN,nH,nCl,nBr,nCu,nV,nFe,nTi,nCr,nMn,nNi,nCo,nW,nMo,nTa,nNb,nZr,nSc,nRe,nIr,nAg,nTc,nY,nNa,nLi,nRb,nCs,nU,Average Voltage,V_level_overall,Capacity Grav,C_grav_level_overall,Capacity Vol,C_vol_level_overall,Specific E Wh/kg,specific_e_level_overall,E Density Wh/l,e_density_level_overall,Working_Ion_Number,Working_Ion
ZnSrSn(PO4)2,Zn,1,,,,,1,0,0,1,10,1,0,0,,1,,,,,,,,,,,,,,,,1,,,8,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.74,Mid,116,Mid,493,Mid,86,Mid,366,Mid,1,Zn
ZnSrNi(PO4)2,Zn,1,,,,,1,0,0,0,10,1,0,0,,1,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.7,Mid,133,Mid,560,Mid,360,Mid,1510,Mid,1,Zn
ZnSrMn(PO4)2,Zn,1,,,,,1,0,0,0,10,1,0,0,,1,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2.01,Mid,135,Mid,537,Mid,271,Mid,1079,Mid,1,Zn
ZnSrFe(PO4)2,Zn,1,,,,,1,0,0,0,10,1,0,0,,1,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1.99,Mid,134,Mid,546,Mid,267,Mid,1086,Mid,1,Zn
ZnSrCr(PO4)2,Zn,1,,,,,1,0,0,0,10,1,0,0,,1,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.53,Mid,136,Mid,544,Mid,208,Mid,834,Mid,1,Zn
ZnSrCo(PO4)2,Zn,1,,,,,1,0,0,0,10,1,0,0,,1,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2.25,Mid,133,Mid,550,Mid,300,Mid,1237,Mid,1,Zn
ZnSr9(CuO7)2,Zn,1,,,,,1,0,0,0,14,2,0,0,,1,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2.27,Mid,77,Mid,386,Mid,174,Mid,877,Mid,1,Zn
ZnSi3(WO6)2,Zn,1,,,,,0,0,3,0,12,2,0,0,,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0.08,Low,191,Mid,1195,Mid,15,Mid,94,Low,1,Zn
ZnSi3(MoO6)2,Zn,1,,,,,0,0,3,0,12,2,0,0,,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.81,Mid,242,Mid,1201,Mid,195,Mid,968,Mid,1,Zn
ZnPr(WO3)2,Zn,1,,,,,0,1,3,0,6,2,0,0,,,,,1,,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,-0.22,Low,80,Mid,668,Mid,-17,Low,-145,Low,1,Zn
ZnPr(SnO3)2,Zn,1,,,,,0,1,0,2,6,0,0,0,,,,,1,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,Mid,99,Mid,636,Mid,117,Mid,751,Mid,1,Zn
ZnPr(SbO3)2,Zn,1,,,,,0,1,2,0,6,0,0,0,,,,,1,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,Mid,98,Mid,600,Mid,29,Mid,177,Mid,1,Zn
ZnPr(MoO3)2,Zn,1,,,,,0,1,0,0,6,2,0,0,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.59,Mid,108,Mid,675,Mid,64,Mid,397,Mid,1,Zn
ZnPr(BiO3)2,Zn,1,,,,,0,1,0,2,6,0,0,0,,,,,1,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,Mid,74,Mid,555,Mid,120,Mid,897,Mid,1,Zn
ZnNi5(TeO6)3,Zn,1,,,,,0,0,3,0,18,5,0,0,,,,,,,,,,,,,,,3,,,,,,18,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2.53,Mid,175,Mid,1041,Mid,442,Mid,2634,Mid,1,Zn
ZnNi3(P2O7)2,Zn,1,,,,,0,0,0,0,18,3,0,0,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2.11,Mid,91,Mid,374,Mid,192,Mid,790,Mid,1,Zn
ZnNi3(AsO4)4,Zn,1,,,,,0,0,4,0,16,3,0,0,,,,,,,,,,,,,,,,,4,,,,16,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2.92,Mid,173,Mid,811,Mid,506,Mid,2366,Mid,1,Zn
ZnNi(PO3)4,Zn,1,,,,,0,0,0,0,16,1,0,0,,,,,,,,,,,,,,,,,,,,,12,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3.37,Mid,122,Mid,407,Mid,411,Mid,1372,Mid,1,Zn
ZnNi(GeO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.75,Mid,147,Mid,754,Mid,403,Mid,2073,Mid,1,Zn
ZnMn5(TeO6)3,Zn,1,,,,,0,0,3,0,18,5,0,0,,,,,,,,,,,,,,,3,,,,,,18,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1.7,Mid,178,Mid,957,Mid,301,Mid,1623,Mid,1,Zn
ZnMn4(CuO4)3,Zn,1,,,,,0,0,0,0,12,7,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,1.22,Mid,80,Mid,447,Mid,98,Mid,544,Mid,1,Zn
ZnMn3(P2O7)2,Zn,1,,,,,0,0,0,0,18,3,0,0,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1.14,Mid,93,Mid,345,Mid,105,Mid,392,Mid,1,Zn
ZnMn(SiO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.62,Mid,197,Mid,742,Mid,319,Mid,1203,Mid,1,Zn
