Reduced Cell Formula,Working Ion,nZn_max,nAl_max,nMg_max,nK_max,nLi_max,n_alkaline_earth_metals,n_lanthanoids,n_metalloids,n_post_transition_metals,n_reactive_nonmetals,n_transition_metals,n_alkali_metals,n_actinoids,nBe,nSr,nBa,nCa,nPr,nHo,nCe,nTb,nGd,nLa,nLu,nNd,nSi,nGe,nTe,nSb,nAs,nSn,nBi,nGa,nO,nP,nS,nF,nI,nSe,nN,nH,nCl,nBr,nCu,nV,nFe,nTi,nCr,nMn,nNi,nCo,nW,nMo,nTa,nNb,nZr,nSc,nRe,nIr,nAg,nTc,nY,nNa,nLi,nRb,nCs,nU,Average Voltage,V_level_overall,Capacity Grav,C_grav_level_overall,Capacity Vol,C_vol_level_overall,Specific E Wh/kg,specific_e_level_overall,E Density Wh/l,e_density_level_overall,Working_Ion_Number,Working_Ion
ZnBa(SnO2)4,Zn,1,,,,,1,0,0,4,8,0,0,0,,,1,,,,,,,,,,,,,,,4,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,Mid,67,Mid,411,Mid,58,Mid,358,Mid,1,Zn
ZnBa(SbO2)4,Zn,1,,,,,1,0,4,0,8,0,0,0,,,1,,,,,,,,,,,,,4,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,Low,66,Mid,380,Mid,6,Mid,34,Low,1,Zn
ZnBa(NiO2)4,Zn,1,,,,,1,0,0,0,8,4,0,0,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2.83,Mid,95,Mid,501,Mid,268,Mid,1420,Mid,1,Zn
ZnBa(MoO2)4,Zn,1,,,,,1,0,0,0,8,4,0,0,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0.32,Mid,75,Mid,426,Mid,24,Mid,138,Mid,1,Zn
ZnBa(FeO2)4,Zn,1,,,,,1,0,0,0,8,4,0,0,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2.52,Mid,97,Mid,473,Mid,244,Mid,1194,Mid,1,Zn
ZnBa(BiO2)4,Zn,1,,,,,1,0,0,4,8,0,0,0,,,1,,,,,,,,,,,,,,,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,Mid,46,Mid,351,Mid,66,Mid,506,Mid,1,Zn
Zn1.5 –2VP2O9,Zn,2,,,,,0,0,0,0,11,1,0,0,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2.12,Mid,69,Mid,236,Mid,147,Mid,501,Mid,1,Zn
Zn1.5 –2BiPO6,Zn,2,,,,,0,0,0,1,7,0,0,0,,,,,,,,,,,,,,,,,,,1,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,Mid,57,Mid,346,Mid,153,Mid,926,Mid,1,Zn
Zn1.2 –1.3Sb,Zn,1.3,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,Low,26,Mid,160,Mid,3,Low,20,Low,1,Zn
Zn1 –3Ti,Zn,3,,,,,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.1,Low,439,High,2942,High,42,Mid,280,Mid,1,Zn
Zn1 –3Mn,Zn,3,,,,,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.06,Low,427,Mid,3180,High,24,Mid,180,Mid,1,Zn
Zn1 –2Ta2MnO8,Zn,2,,,,,0,0,0,0,8,1,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.72,Mid,79,Mid,570,Mid,136,Mid,977,Mid,1,Zn
Zn1 –2MnNb2O8,Zn,2,,,,,0,0,0,0,8,3,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,1.69,Mid,107,Mid,568,Mid,182,Mid,962,Mid,1,Zn
Zn0.5 –1VO3,Zn,1,,,,,0,0,0,0,3,1,0,0,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.12,Mid,163,Mid,877,Mid,183,Mid,985,Mid,1,Zn
Zn0.5 –1SbO3,Zn,1,,,,,0,0,1,0,3,0,0,0,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,Mid,114,Mid,724,Mid,39,Mid,248,Mid,1,Zn
Zn0.5 –1MnO2,Zn,1,,,,,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.37,Mid,176,Mid,944,Mid,65,Mid,350,Mid,1,Zn
Zn0.5 –1BiO3,Zn,1,,,,,0,0,0,1,3,0,0,0,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,Mid,83,Mid,669,Mid,151,Mid,1215,Mid,1,Zn
Zn0.5 –1BaFeF7,Zn,1,,,,,1,0,0,0,0,1,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3.87,High,68,Mid,318,Mid,265,Mid,1232,Mid,1,Zn
Zn0.5 –0.75CeSb2,Zn,0.75,,,,,0,0,2,0,1,0,0,0,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,Low,31,Mid,224,Mid,-7,Low,-51,Low,1,Zn
Zn0.44 –0.5CaSb,Zn,0.5,,,,,0,1,1,0,0,0,0,0,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,Low,15,Mid,70,Mid,-1,Low,-5,Low,1,Zn
Zn0.25 –1FeO2,Zn,1,,,,,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.64,Mid,262,Mid,1472,Mid,168,Mid,944,Mid,1,Zn
Zn0.25 –0.5NiO2,Zn,0.5,,,,,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1.46,Mid,109,Mid,610,Mid,158,Mid,888,Mid,1,Zn
Zn0.25 –0.5CrO2,Zn,0.5,,,,,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.13,Mid,115,Mid,569,Mid,129,Mid,640,Mid,1,Zn
Zn0.25 –0.5CoO2,Zn,0.5,,,,,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1.17,Mid,108,Mid,559,Mid,127,Mid,653,Mid,1,Zn
Zn0 –7Mo,Zn,7,,,,,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.04,Low,678,High,5213,High,25,Mid,194,Mid,1,Zn
Zn0 –3Sb,Zn,3,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,Low,506,High,3483,High,-30,Low,-210,Low,1,Zn
Zn0 –3Ni,Zn,3,,,,,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.12,Low,631,High,5060,High,74,Mid,593,Mid,1,Zn
Zn0 –3Mo3O8,Zn,3,,,,,0,0,0,0,8,3,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1.15,Mid,263,Mid,1535,High,303,Mid,1768,Mid,1,Zn
Zn0 –3C,Zn,3,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,Low,772,High,5242,High,-182,Low,-1237,Low,1,Zn
Zn0 –2W3O8,Zn,2,,,,,0,0,0,0,8,3,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0.86,Mid,132,Mid,1088,Mid,114,Mid,937,Mid,1,Zn
Zn0 –2Ti9O13,Zn,2,,,,,0,0,0,0,22,9,0,0,,,,,,,,,,,,,,,,,,,,,13,,,,,9,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,-0.71,Low,139,Mid,739,Mid,-99,Low,-527,Low,1,Zn
Zn0 –2Ta2WO8,Zn,2,,,,,2,0,0,0,8,1,0,0,,,,2,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.62,Mid,133,Mid,1124,Mid,82,Mid,693,Mid,1,Zn
Zn0 –2Ta2CrO8,Zn,2,,,,,2,0,0,0,8,1,0,0,,,,2,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.99,Mid,159,Mid,1143,Mid,317,Mid,2273,Mid,1,Zn
Zn0 –2Ni9O13,Zn,2,,,,,0,0,0,0,13,9,0,0,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,2.39,Mid,124,Mid,773,Mid,296,Mid,1850,Mid,1,Zn
Zn0 –2Nb2WO8,Zn,2,,,,,0,0,0,0,8,3,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,0.47,Mid,171,Mid,1130,Mid,80,Mid,529,Mid,1,Zn
Zn0 –2Nb2CrO8,Zn,2,,,,,0,0,0,0,8,3,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,1.88,Mid,216,Mid,1148,Mid,407,Mid,2163,Mid,1,Zn
Zn0 –2MoWO6,Zn,2,,,,,0,0,0,0,6,2,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,0.65,Mid,212,Mid,1557,High,137,Mid,1007,Mid,1,Zn
Zn0 –2Mo3O8,Zn,2,,,,,0,0,0,0,8,3,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1.57,Mid,196,Mid,1088,Mid,308,Mid,1710,Mid,1,Zn
Zn0 –2Mn9O13,Zn,2,,,,,0,0,0,0,13,9,0,0,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,1.42,Mid,129,Mid,666,Mid,182,Mid,944,Mid,1,Zn
Zn0 –2Mn2Nb2O9,Zn,2,,,,,0,0,0,0,9,4,0,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,1.79,Mid,188,Mid,996,Mid,336,Mid,1783,Mid,1,Zn
Zn0 –2IrWO6,Zn,2,,,,,0,0,0,0,6,1,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.88,Mid,178,Mid,1629,High,156,Mid,1430,Mid,1,Zn
Zn0 –2Fe9O13,Zn,2,,,,,0,0,0,0,13,9,0,0,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,0.96,Mid,127,Mid,692,Mid,122,Mid,663,Mid,1,Zn
Zn0 –2Cu9O13,Zn,2,,,,,0,0,0,0,13,0,0,0,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,Mid,118,Mid,763,Mid,230,Mid,1488,Mid,1,Zn
Zn0 –2CrWO6,Zn,2,,,,,0,0,0,0,6,2,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1.62,Mid,232,Mid,1610,High,375,Mid,2604,Mid,1,Zn
Zn0 –2CrWO6,Zn,2,,,,,0,0,0,0,6,2,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1.69,Mid,232,Mid,1666,High,391,Mid,2809,High,1,Zn
Zn0 –2CrIrO6,Zn,2,,,,,0,0,0,0,6,1,0,0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.8,Mid,228,Mid,1704,High,409,Mid,3059,High,1,Zn
Zn0 –2Cr3O8,Zn,2,,,,,0,0,0,0,8,3,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2.68,Mid,258,Mid,1249,Mid,691,High,3342,High,1,Zn
Zn0 –2Cr3O8,Zn,2,,,,,0,0,0,0,8,3,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2.31,Mid,258,Mid,1268,Mid,598,Mid,2931,High,1,Zn
Zn0 –2Cr2O5,Zn,2,,,,,0,0,0,0,5,2,0,0,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1.27,Mid,341,Mid,1727,High,433,Mid,2198,Mid,1,Zn
Zn0 –2Co9O13,Zn,2,,,,,0,0,0,0,13,9,0,0,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,1.72,Mid,123,Mid,739,Mid,212,Mid,1270,Mid,1,Zn
Zn0 –2Ba2Tl2Co3O10,Zn,2,,,,,2,0,0,0,19,5,0,0,,,2,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,1.45,Mid,93,Mid,648,Mid,135,Mid,941,Mid,1,Zn
Zn0 –20ZrNi2,Zn,2,,,,,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,0.07,Low,707,High,5247,High,51,Mid,376,Mid,1,Zn
Zn0 –20ZrFe2,Zn,2,,,,,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,0.05,Low,709,High,5200,High,38,Mid,275,Mid,1,Zn
Zn0 –20ZrCo2,Zn,2,,,,,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,0.07,Low,707,High,5279,High,50,Mid,375,Mid,1,Zn
Zn0 –20UFe2,Zn,2,,,,,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,0.02,Low,647,High,5102,High,10,Mid,77,Low,1,Zn
Zn0 –20UCo2,Zn,2,,,,,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,0.03,Low,644,High,5126,High,16,Mid,129,Mid,1,Zn
Zn0 –20TbFe2,Zn,2,,,,,0,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,0.07,Low,679,High,5107,High,47,Mid,351,Mid,1,Zn
Zn0 –20GdCo2,Zn,2,,,,,0,1,0,0,0,2,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.08,Low,677,High,5138,High,56,Mid,425,Mid,1,Zn
Zn0 –1Zr5Sn3,Zn,1,,,,,0,0,0,3,0,5,0,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,0.36,Mid,61,Mid,458,Mid,22,Mid,165,Mid,1,Zn
Zn0 –1Zr5Sb3,Zn,1,,,,,0,0,3,0,0,5,0,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,0.55,Mid,60,Mid,465,Mid,33,Mid,257,Mid,1,Zn
Zn0 –1WO3,Zn,1,,,,,0,0,0,0,3,1,0,0,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.07,Low,180,Mid,1562,High,13,Mid,117,Mid,1,Zn
Zn0 –1WO3,Zn,1,,,,,0,0,0,0,3,1,0,0,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-0.72,Low,180,Mid,1368,Mid,-130,Low,-986,Low,1,Zn
Zn0 –1WF5,Zn,1,,,,,0,5,0,0,0,1,0,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.69,Mid,156,Mid,831,Mid,107,Mid,571,Mid,1,Zn
Zn0 –1WF5,Zn,1,,,,,0,5,0,0,0,1,0,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.69,Mid,156,Mid,838,Mid,108,Mid,580,Mid,1,Zn
Zn0 –1W4O9,Zn,1,,,,,0,0,0,0,9,4,0,0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,-0.83,Low,57,Mid,479,Mid,-47,Low,-397,Low,1,Zn
Zn0 –1VPO5,Zn,1,,,,,0,0,0,0,6,1,0,0,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.28,Mid,236,Mid,934,Mid,302,Mid,1196,Mid,1,Zn
Zn0 –1VP2O7,Zn,1,,,,,0,0,0,0,9,1,0,0,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.16,Mid,185,Mid,691,Mid,215,Mid,804,Mid,1,Zn
Zn0 –1VO2,Zn,1,,,,,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.1,Low,361,Mid,1873,High,35,Mid,179,Mid,1,Zn
Zn0 –1VNiP2O9,Zn,1,,,,,0,0,0,0,11,2,0,0,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1.93,Mid,141,Mid,545,Mid,272,Mid,1053,Mid,1,Zn
Zn0 –1VF5,Zn,1,,,,,0,5,0,0,0,1,0,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.95,Mid,254,Mid,955,Mid,494,Mid,1860,Mid,1,Zn
Zn0 –1VCu3Se4,Zn,1,,,,,0,0,0,0,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,-0.63,Low,86,Mid,477,Mid,-54,Low,-298,Low,1,Zn
Zn0 –1VBiO5,Zn,1,,,,,0,0,0,1,5,1,0,0,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2.82,Mid,132,Mid,749,Mid,373,Mid,2111,Mid,1,Zn
Zn0 –1VAsO5,Zn,1,,,,,0,0,1,0,5,1,0,0,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.52,Mid,198,Mid,834,Mid,300,Mid,1265,Mid,1,Zn
Zn0 –1V5O7,Zn,1,,,,,0,0,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,0.03,Low,124,Mid,636,Mid,4,Mid,18,Low,1,Zn
Zn0 –1V3P3O13,Zn,1,,,,,0,0,0,0,16,3,0,0,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.91,Mid,103,Mid,354,Mid,94,Mid,322,Mid,1,Zn
Zn0 –1V3O7,Zn,1,,,,,0,0,0,0,7,3,0,0,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1.14,Mid,162,Mid,629,Mid,185,Mid,717,Mid,1,Zn
Zn0 –1V2S5,Zn,1,,,,,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0.26,Low,164,Mid,524,Mid,43,Mid,139,Mid,1,Zn
Zn0 –1V2P2O9,Zn,1,,,,,0,0,0,0,11,2,0,0,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1.07,Mid,144,Mid,529,Mid,154,Mid,567,Mid,1,Zn
Zn0 –1V2O5,Zn,1,,,,,0,0,0,0,5,2,0,0,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0.71,Mid,217,Mid,897,Mid,153,Mid,635,Mid,1,Zn
Zn0 –1TiP2O7,Zn,1,,,,,0,0,0,0,10,1,0,0,,,,,,,,,,,,,,,,,,,,,7,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,-0.62,Low,187,Mid,674,Mid,-116,Low,-420,Low,1,Zn
Zn0 –1TiNiP2O9,Zn,1,,,,,0,0,0,0,12,2,0,0,,,,,,,,,,,,,,,,,,,,,9,2,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,2.42,Mid,142,Mid,538,Mid,343,Mid,1301,Mid,1,Zn
Zn0 –1Ti5O7,Zn,1,,,,,0,0,0,0,12,5,0,0,,,,,,,,,,,,,,,,,,,,,7,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,-0.71,Low,129,Mid,681,Mid,-91,Low,-483,Low,1,Zn
Zn0 –1Ti3P3O13,Zn,1,,,,,0,0,0,0,19,3,0,0,,,,,,,,,,,,,,,,,,,,,13,3,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,-0.83,Low,105,Mid,346,Mid,-87,Low,-286,Low,1,Zn
Zn0 –1Ti2P2O9,Zn,1,,,,,0,0,0,0,13,2,0,0,,,,,,,,,,,,,,,,,,,,,9,2,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,-0.42,Low,146,Mid,515,Mid,-61,Low,-216,Low,1,Zn
Zn0 –1Ti2Al,Zn,1,,,,,0,0,0,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.88,Mid,285,Mid,1351,Mid,251,Mid,1190,Mid,1,Zn
Zn0 –1Sn3P3O13,Zn,1,,,,,0,0,0,3,16,0,0,0,,,,,,,,,,,,,,,,,,3,,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,Low,74,Mid,296,Mid,-13,Low,-51,Low,1,Zn
Zn0 –1Sn2P2O9,Zn,1,,,,,0,0,0,2,11,0,0,0,,,,,,,,,,,,,,,,,,2,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,Low,105,Mid,416,Mid,12,Mid,49,Low,1,Zn
Zn0 –1Si4WO10,Zn,1,,,,,0,0,4,0,10,1,0,0,,,,,,,,,,,,,4,,,,,,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.33,Mid,103,Mid,426,Mid,34,Mid,139,Mid,1,Zn
Zn0 –1Si4SnO10,Zn,1,,,,,0,0,4,1,10,0,0,0,,,,,,,,,,,,,4,,,,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mid,117,Mid,405,Mid,117,Mid,405,Mid,1,Zn
Zn0 –1Si4NiO10,Zn,1,,,,,0,0,4,0,10,1,0,0,,,,,,,,,,,,,4,,,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.23,Mid,135,Mid,451,Mid,302,Mid,1007,Mid,1,Zn
Zn0 –1Si2WO6,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-0.92,Low,134,Mid,721,Mid,-123,Low,-664,Low,1,Zn
Zn0 –1Si2NiO6,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.65,Mid,194,Mid,800,Mid,515,Mid,2124,Mid,1,Zn
Zn0 –1ScMo3O8,Zn,1,,,,,0,0,0,0,8,4,0,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,1.66,Mid,102,Mid,535,Mid,169,Mid,888,Mid,1,Zn
Zn0 –1SbAsO5,Zn,1,,,,,0,0,2,0,5,0,0,0,,,0,,,,,,,,,,,,,1,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,Mid,157,Mid,691,Mid,192,Mid,846,Mid,1,Zn
Zn0 –1PrTi2O6,Zn,1,,,,,0,1,0,0,8,2,0,0,,,,,1,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.82,Mid,135,Mid,760,Mid,111,Mid,626,Mid,1,Zn
Zn0 –1PrMn2O6,Zn,1,,,,,0,1,0,0,6,2,0,0,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2.08,Mid,130,Mid,799,Mid,270,Mid,1660,Mid,1,Zn
Zn0 –1P4WO12,Zn,1,,,,,0,0,0,0,16,1,0,0,,,,,,,,,,,,,,,,,,,,,12,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-0.18,Low,95,Mid,345,Mid,-17,Low,-63,Low,1,Zn
Zn0 –1P4W3O14,Zn,1,,,,,0,0,0,0,18,3,0,0,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,-0.92,Low,56,Mid,298,Mid,-51,Low,-274,Low,1,Zn
Zn0 –1P2WO7,Zn,1,,,,,0,0,0,0,9,1,0,0,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-0.32,Low,127,Mid,614,Mid,-40,Low,-194,Low,1,Zn
Zn0 –1P2W2O9,Zn,1,,,,,0,0,0,0,11,2,0,0,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,-0.45,Low,84,Mid,483,Mid,-38,Low,-217,Low,1,Zn
Zn0 –1NiSnP2O9,Zn,1,,,,,0,0,0,1,11,1,0,0,,,,,,,,,,,,,,,,,,1,,,9,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.51,Mid,119,Mid,496,Mid,300,Mid,1245,Mid,1,Zn
